"","SampleId","HLAA_major","HLAA_minor","HLAA_LOH","HLAB_major","HLAB_minor","HLAB_LOH","HLAC_major","HLAC_minor","HLAC_LOH","HLAA_C_t","HLAA_M_t","HLAA_LOH_t","HLAB_C_t","HLAB_M_t","HLAB_LOH_t","HLAC_C_t","HLAC_M_t","HLAC_LOH_t"
"342","TCGA-91-6848-01",3,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"344","TCGA-91-7771-01",3,2,FALSE,3,2,FALSE,3,2,FALSE,2,1,FALSE,2,1,FALSE,2,1,FALSE
"347","TCGA-91-8499-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"348","TCGA-91-A4BC-01",3,0,TRUE,3,0,TRUE,3,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE
"351","TCGA-93-A4JN-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,5,2,FALSE,5,2,FALSE,5,2,FALSE
"352","TCGA-93-A4JO-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE
"353","TCGA-93-A4JQ-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE
"354","TCGA-95-7039-01",4,2,FALSE,4,2,FALSE,4,2,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"355","TCGA-95-7043-01",3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE
"356","TCGA-95-7562-01",3,1,FALSE,3,1,FALSE,3,1,FALSE,4,1,FALSE,4,1,FALSE,4,1,FALSE
"357","TCGA-95-7567-01",3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE
"361","TCGA-95-8494-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE
"363","TCGA-95-A4VN-01",5,0,TRUE,6,0,TRUE,5,0,TRUE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"364","TCGA-95-A4VP-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"366","TCGA-97-7547-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE
"368","TCGA-97-7553-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,6,1,FALSE,4,2,FALSE,4,2,FALSE
"369","TCGA-97-7554-01",7,3,FALSE,7,3,FALSE,7,3,FALSE,6,1,FALSE,6,1,FALSE,6,1,FALSE
"371","TCGA-97-7938-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"373","TCGA-97-8171-01",3,1,FALSE,3,1,FALSE,3,1,FALSE,4,1,FALSE,4,1,FALSE,4,1,FALSE
"374","TCGA-97-8172-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,2,1,FALSE,2,1,FALSE,2,1,FALSE
"375","TCGA-97-8174-01",5,2,FALSE,5,2,FALSE,5,2,FALSE,7,2,FALSE,7,2,FALSE,7,2,FALSE
"378","TCGA-97-8177-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"379","TCGA-97-8179-01",3,2,FALSE,3,2,FALSE,3,2,FALSE,5,2,FALSE,5,2,FALSE,5,2,FALSE
"381","TCGA-97-8552-01",3,0,TRUE,3,0,TRUE,3,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE
