"fullname" "Purity_ABS" "Ploidy_ABS" "Purity_PureCN" "Ploidy_PureCN"
"TCGA-67-3773-01A-01D" 0.7 1.96 0.64 1.94293094037294
"TCGA-67-4679-01B-01D" 0.71 2.03 0.69 2.04150483882522
"TCGA-67-6215-01A-11D" 0.69 2.25 0.69 2.23604233804412
"TCGA-67-6216-01A-11D" 0.56 1.97 0.35 1.96150343885838
"TCGA-67-6217-01A-11D" 0.25 6.17 0.33 2.02685819277641
"TCGA-69-7760-01A-11D" 0.65 3.25 0.64 3.2513104546106
"TCGA-69-7761-01A-11D" 0.23 3.68 0.24 1.81900412900442
"TCGA-69-7763-01A-11D" 0.35 2.64 0.33 2.66533012749826
"TCGA-69-7764-01A-11D" 0.8 1.8 0.58 3.34886941778129
"TCGA-69-7765-01A-11D" 0.41 2.02 0.31 2.13039231235958
"TCGA-69-7973-01A-11D" 0.55 3.35 0.52 3.28968511124745
"TCGA-69-7974-01A-11D" 0.29 3.55 0.3 3.5888785176051
"TCGA-69-7978-01A-11D" 0.2 3.06 0.18 2.05191906929289
"TCGA-69-7979-01A-11D" 0.53 4.57 0.57 4.54147922117697
"TCGA-69-7980-01A-11D" 0.55 3.76 0.54 3.72993646098178
"TCGA-69-8253-01A-11D" 0.39 3.14 0.39 3.1087962532062
"TCGA-69-8254-01A-11D" 0.41 1.95 0.43 1.97784508738436
"TCGA-69-8255-01A-11D" 0.37 3.27 0.35 3.31138256539267
"TCGA-71-6725-01A-11D" 0.63 2.69 0.58 2.66100194734762
"TCGA-73-4658-01A-01D" 0.29 2.14 0.18 2.44900735273352
"TCGA-73-4659-01A-01D" 0.33 3.5 0.33 3.53708456058219
"TCGA-73-4662-01A-01D" 0.48 3 0.46 2.99714356744538
"TCGA-73-4666-01A-01D" 0.45 3.2 0.45 3.12413427990029
"TCGA-73-4668-01A-01D" 0.53 3.19 0.52 3.04421984996549
"TCGA-73-4670-01A-01D" 0.62 2.91 0.54 2.96609533105881
"TCGA-73-4675-01A-01D" 0.57 3.41 0.51 3.47986211601307
"TCGA-73-4676-01A-01D" 0.77 1.31 0.52 2.55418976722544
"TCGA-73-4677-01A-01D" 0.47 3.23 0.23 2.99478779276967
"TCGA-73-7498-01A-12D" 0.62 2.01 0.42 3.95592905053482
"TCGA-73-7499-01A-11D" 0.38 3.22 0.4 3.04239642328049
"TCGA-73-A9RS-01A-11D" 0.61 2.78 0.6 2.78083725534145
"TCGA-75-5122-01A-01D" 0.32 1.87 0.18 2.52340427455279
"TCGA-75-5125-01A-01D" 0.31 3.69 0.31 2.99786785542869
"TCGA-75-5126-01A-01D" 0.24 2.29 0.28 1.99994924535359
"TCGA-75-5146-01A-01D" 0.58 1.78 0.53 1.79108087199074
"TCGA-75-5147-01A-01D" 0.4 3.29 0.36 3.08822188631386
"TCGA-75-6203-01A-11D" 0.26 2.23 0.27 2.26238998962784
"TCGA-75-6205-01A-11D" 0.27 1.4 0.17 1.8504558962135
"TCGA-75-6207-01A-11D" 0.64 1.9 0.62 1.94091858503953
"TCGA-75-6211-01A-11D" 0.39 3.09 0.37 3.10852327767246
"TCGA-75-6212-01A-11D" 0.43 2.74 0.39 2.82398138312446
"TCGA-75-6214-01A-41D" 0.64 2.76 0.55 2.65856615809503
"TCGA-75-7025-01A-12D" 0.34 3.59 0.3 1.83060717640249
"TCGA-75-7027-01A-11D" 0.62 3.09 0.59 3.08023997648152
"TCGA-75-7031-01A-11D" 0.49 3.86 0.46 4.05197869418195
"TCGA-78-7145-01A-11D" 0.63 3.37 0.61 3.46621077171617
"TCGA-78-7146-01A-11D" 0.68 2.79 0.67 2.7543557342586
"TCGA-78-7147-01A-11D" 0.62 3.15 0.61 3.09177975505759
"TCGA-78-7148-01A-11D" 0.6 1.81 0.35 2.05220395762738
"TCGA-78-7149-01A-11D" 0.6 3.38 0.56 3.37968380063547
"TCGA-78-7150-01A-21D" 0.46 2.99 0.45 3.03987736617384
"TCGA-78-7152-01A-11D" 0.55 1.99 0.53 2.00003725445714
"TCGA-78-7153-01A-11D" 0.57 4 0.24 2.35613292178598
"TCGA-78-7154-01A-11D" 0.5 3.82 0.51 3.91236730664876
"TCGA-78-7155-01A-11D" 0.82 2.5 0.79 2.50764356190349
"TCGA-78-7156-01A-11D" 0.8 1.98 0.78 1.98877325445107
"TCGA-78-7158-01A-11D" 0.9 2.09 0.84 2.10063400909288
"TCGA-78-7159-01A-11D" 0.29 3.82 0.37 2.47562960858681
"TCGA-78-7160-01A-11D" 0.29 1.62 0.16 2.09944307339752
"TCGA-78-7161-01A-11D" 0.75 3.36 0.72 3.30724261679671
"TCGA-78-7162-01A-21D" 0.27 2.13 0.27 2.08617313056252
"TCGA-78-7163-01A-12D" 0.68 2.56 0.67 2.52791516664601
"TCGA-78-7166-01A-12D" 0.63 2.04 0.53 2.04801124768019
"TCGA-78-7167-01A-11D" 0.84 3.68 0.77 3.66736338539691
"TCGA-78-7220-01A-11D" 0.61 2.71 0.59 2.67350993051735
"TCGA-78-7535-01A-11D" 0.6 2.82 0.58 2.80588084004367
"TCGA-78-7536-01A-11D" 0.78 3.04 0.75 3.08667785862174
"TCGA-78-7537-01A-11D" 0.74 2.08 0.63 2.05116498068906
"TCGA-78-7539-01A-11D" 0.52 3.49 0.49 3.41799864612855
"TCGA-78-7540-01A-11D" 0.59 2.02 0.55 1.96985441846828
"TCGA-78-7542-01A-21D" 0.35 4.69 0.33 4.69336077077296
"TCGA-78-7633-01A-11D" 0.75 2.19 0.7 2.19488935383763
"TCGA-78-8640-01A-11D" 0.35 2.72 0.34 2.74341707873478
"TCGA-78-8655-01A-11D" 0.46 4.26 0.58 2.16013092344985
"TCGA-78-8660-01A-11D" 0.33 1.96 0.2 1.8459408709619
"TCGA-78-8662-01A-11D" 0.79 2.74 0.77 2.66131988841859
"TCGA-80-5607-01A-31D" 0.49 2.02 0.48 2.02860520991489
"TCGA-80-5608-01A-31D" 0.48 3.13 0.41 2.99596956119344
"TCGA-80-5611-01A-01D" 0.51 3.08 0.49 3.09480118690462
"TCGA-83-5908-01A-21D" 0.4 1.66 0.29 3.01200757114139
"TCGA-86-6562-01A-11D" 0.46 3.46 0.45 3.42979162841755
"TCGA-86-6851-01A-11D" 0.32 3.26 0.3 3.25255606147547
"TCGA-86-7701-01A-11D" 0.42 2.97 0.4 3.96829622223074
"TCGA-86-7711-01A-11D" 0.33 1.88 0.31 1.8958728890611
"TCGA-86-7713-01A-11D" 0.65 3.59 0.58 3.77386633079679
"TCGA-86-7714-01A-12D" 0.67 1.93 0.66 1.9361898763492
"TCGA-86-7953-01A-11D" 0.35 3.26 0.32 3.28082083086344
"TCGA-86-7954-01A-11D" 0.27 4.41 0.34 4.0399734831884
"TCGA-86-7955-01A-11D" 0.73 3.16 0.69 3.19558727085897
"TCGA-86-8054-01A-11D" 0.74 2.86 0.7 2.89437735609114
"TCGA-86-8055-01A-11D" 0.28 3.5 0.25 2.57431329315225
"TCGA-86-8056-01A-11D" 0.37 3.87 0.53 1.93956032098946
"TCGA-86-8073-01A-11D" 0.43 1.88 0.36 1.9159732537246
"TCGA-86-8074-01A-11D" 0.51 3.81 0.55 2.53271781803935
"TCGA-86-8075-01A-11D" 0.3 4.21 0.43 2.43545185963919
"TCGA-86-8076-01A-31D" 0.24 2.09 0.15 2.22119951914413
"TCGA-86-8278-01A-11D" 0.56 1.82 0.5 1.82674706118681
"TCGA-86-8279-01A-11D" 0.5 5.48 0.56 3.75441435316883
"TCGA-86-8280-01A-11D" 0.45 2.56 0.39 2.41907326705166
"TCGA-86-8281-01A-11D" 0.54 2.08 0.5 2.09892899413078
"TCGA-86-8358-01A-11D" 0.72 3.55 0.52 3.77011080906522
"TCGA-86-8359-01A-11D" 0.44 3.19 0.4 3.18320430287015
"TCGA-86-8585-01A-11D" 0.29 2.82 0.29 2.74498786784707
"TCGA-86-8668-01A-11D" 0.41 3.93 0.54 1.99149479295949
"TCGA-86-8669-01A-11D" 0.57 3.66 0.51 3.79190276212138
"TCGA-86-8671-01A-11D" 1 2 0.17 1.94455216221494
"TCGA-86-8672-01A-21D" 0.32 2.74 0.3 2.74747947659094
"TCGA-86-8673-01A-11D" 0.4 2.56 0.37 2.56657312498051
"TCGA-86-8674-01A-21D" 0.58 2.11 0.55 2.12067942426709
