"","SampleId","Signature.1","Signature.2","Signature.3","Signature.4","Signature.5","Signature.6","Signature.7","Signature.8","Signature.9","Signature.10","Signature.11","Signature.12","Signature.13","Signature.14","Signature.15","Signature.16","Signature.17","Signature.18","Signature.19","Signature.20","Signature.21","Signature.22","Signature.23","Signature.24","Signature.25","Signature.26","Signature.27","Signature.28","Signature.29","Signature.30","Mode","Sample"
"129","TCGA-61-2000-01",0.104175717511487,0,0.133318760953258,0,0.16602301483433,0,0,0,0,0,0,0,0,0,0,0.121154127651091,0,0,0.0854201405587108,0,0.0604786488337085,0,0,0,0,0,0,0,0,0,"Tumor-only","OV"
"130","TCGA-61-2002-01",0,0,0.28440390269174,0.144848324514852,0.122532575387947,0.248196569333652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125731644715121,"Tumor-only","OV"
"131","TCGA-61-2003-01",0.287000607124116,0,0,0,0.334869091062185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0682896406505516,0,0,0,0,0,0,0,0,0.125714816097398,0.113519944901868,"Tumor-only","OV"
"132","TCGA-61-2008-01",0.210855384592178,0,0.222004073812617,0.108944085207551,0.153568202953623,0.176808359899598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tumor-only","OV"
"133","TCGA-61-2009-01",0.35188388523606,0,0.325349462275326,0.150646393537571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0777063792178328,0,0,0,0,"Tumor-only","OV"
"134","TCGA-61-2012-01",0.195576144849811,0,0.122221856285615,0,0.0961042589409142,0,0.0895043427735045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206875546371152,0,0,0,0,0,0.098418089908668,"Tumor-only","OV"
"135","TCGA-61-2016-01",0.468346245294133,0,0.164485364079446,0.0712898674751795,0,0,0,0,0,0.0744736572111584,0.120758077417649,0,0,0,0,0,0,0,0,0,0,0,0,0.0646252998935818,0,0,0,0,0,0,"Tumor-only","OV"
"137","TCGA-61-2018-01",0,0,0.293155275825835,0.136626828434477,0,0.136077278860361,0.0610930858872882,0,0,0,0,0,0,0,0,0.138766329628897,0,0,0.131530287598524,0,0,0,0,0,0,0,0,0,0,0,"Tumor-only","OV"
"138","TCGA-61-2087-01",0.210061715447057,0,0.553353145323031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137041367938573,0,0,0,0,0,0,0,0,0,0,0,"Tumor-only","OV"
"139","TCGA-61-2088-01",0.176538890592032,0,0,0,0.140023340864152,0.240792874417961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35222554071923,"Tumor-only","OV"
"140","TCGA-61-2092-01",0.28275700064008,0,0,0,0,0,0.220041292516173,0,0,0.133403364867091,0,0,0,0,0,0,0,0,0.343938483852168,0,0,0,0,0,0,0,0,0,0,0,"Tumor-only","OV"
"141","TCGA-61-2094-01",0,0,0,0,0.232474086241342,0.125514602552124,0,0,0,0,0.142361200261626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273394273282725,0,"Tumor-only","OV"
"142","TCGA-61-2096-01",0.332910113737777,0,0.367090344327606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149849249740073,0,0,0,0,0,0,0,0,0,0,"Tumor-only","OV"
"143","TCGA-61-2097-01",0.136804364481044,0,0.318655302791787,0,0.309289406591074,0,0,0,0,0,0,0,0,0.0678350648054867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tumor-only","OV"
"145","TCGA-61-2101-01",0.237007430297909,0,0.199733388548633,0,0,0.325287509815447,0.142767427444407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tumor-only","OV"
"146","TCGA-61-2102-01",0.365879596280867,0,0.206196783575928,0,0,0.126550470213411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0643101728302301,0,0,0,0,0,0,0.0809866665165801,0.115147598582785,"Tumor-only","OV"
"147","TCGA-61-2104-01",0.0855920633704047,0,0.345790679231487,0.139777275405932,0,0.135388575335405,0,0,0,0,0,0.125357745873563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tumor-only","OV"
"148","TCGA-61-2109-01",0.087586945802388,0,0.404516533453211,0,0,0.16336821552624,0,0,0,0,0,0,0,0,0,0.0862910252422945,0,0,0,0,0,0,0.128462542828471,0.112630265356759,0,0,0,0,0,0,"Tumor-only","OV"
